출발지,도착지,소요시간(분)
도쿄 디즈니씨,아사쿠사 신사,57.0
도쿄 디즈니씨,도쿄도 현대미술관,54.0
도쿄 디즈니씨,긴자 식스,40.0
도쿄 디즈니씨,도쿄 대학,54.0
도쿄 디즈니씨,도쿄 빅사이트,33.0
도쿄 디즈니씨,도쿄 국립 박물관,49.0
도쿄 디즈니씨,조죠지,51.0
도쿄 디즈니씨,시바 공원,48.0
도쿄 디즈니씨,우에노 공원,44.0
도쿄 디즈니씨,Shibuya Scramble Crossing,50.0
도쿄 디즈니씨,신주쿠 교 엔,56.0
도쿄 디즈니씨,도쿄 조이 폴리스,39.0
도쿄 디즈니씨,킷데 마루노우치,31.0
도쿄 디즈니씨,오모테산도 힐즈,52.0
도쿄 디즈니씨,네즈 미술관,57.0
도쿄 디즈니씨,아메요코 쇼핑가,45.0
도쿄 디즈니씨,모리 미술관,56.0
도쿄 디즈니씨,Tokyo Station Gallery,45.0
도쿄 디즈니씨,Street Kart Tokyo Bay,35.0
도쿄 디즈니씨,쓰키시마 몬자거리,36.0
도쿄 디즈니씨,사쿠라 포토 스튜디오,53.0
도쿄 디즈니씨,하네다국제공항,53.0
도쿄 디즈니씨,도쿄 소라마치,57.0
도쿄 디즈니씨,미쓰비시1호관미술관,31.0
도쿄 디즈니씨,도쿄도 미술관,49.0
도쿄 디즈니씨,다이마루 백화점 도쿄점,40.0
도쿄 디즈니씨,미타카의 숲 지브리 미술관,82.0
도쿄 디즈니씨,도쿄 국립 근대 미술관,42.0
도쿄 디즈니씨,빅카메라 유라쿠초점,34.0
도쿄 디즈니씨,네즈신사,57.0
도쿄 디즈니씨,센가쿠 절,49.0
도쿄 디즈니씨,쓰키지 수산시장,36.0
도쿄 디즈니씨,스파 라쿠아,51.0
도쿄 디즈니씨,도쿄 미드타운,52.0
도쿄 디즈니씨,국립 서양 미술관,49.0
도쿄 디즈니씨,도호 시네마즈 신주쿠,59.0
도쿄 디즈니씨,신주쿠 골든 거리,60.0
도쿄 디즈니씨,하마리큐 은사정원,44.0
도쿄 디즈니씨,Shibuya Center-Street,51.0
도쿄 디즈니씨,시나가와 수족관,63.0
도쿄 디즈니씨,맥셀 아쿠아 파크 시나가와,54.0
도쿄 디즈니씨,오다이바 자유의 여신상,41.0
도쿄 디즈니씨,도쿄만 아쿠아라인 우미호타루,105.0
도쿄 디즈니씨,구 이와사키 저택 정원,53.0
도쿄도청 전망대,도쿄 타워,34.0
도쿄도청 전망대,메이지 신궁,15.0
도쿄도청 전망대,메이지 신궁 외원,16.0
도쿄도청 전망대,도쿄 스카이트리,40.0
도쿄도청 전망대,도쿄 디즈니랜드,61.0
도쿄도청 전망대,센소지사,41.0
도쿄도청 전망대,고쿄 히가시 교엔,30.0
도쿄도청 전망대,도쿄 디즈니씨,77.0
도쿄도청 전망대,에도도쿄건축정원,59.0
도쿄도청 전망대,센소지 가미나리몬,41.0
